Jessica	xnr
呢	y1
，	w
嗰	r
舊	q
牛肉	n
擺落	v
口	n
度	f
溶	v
晒	u
嗰	r
種	q
感覺	n
呢	y1
。	w
哩個	r
世界	n
上	f
，	w
全世界	n
都	d
食	v
唔	d
到	v
。	w
係	v
香港	ns
有	v1
𡃉	y
咋	y
。	w

係	v
香港	ns
先	d
有	v1
𡃉	y
。	w

萬	m
年	q
梳打粉	n
。	w

萬	m
年	q
梳打粉	n
。	w

即係	c
街邊	s
呢	y1
，	w
炸	v
魚蛋	n
嗰啲	r
萬年油	n
。	w
叫	v
我	r
小心	a
啲	u
就	d
係	v
萬	m
年	q
梳打粉	n
。	w

所以	c
如果	c
同	p
泰臣	nr
。	w
我	r
成日	d
覺得	v
打拳	v
之前	t
呢	y1
，	w
揾	v
啲	m
梳打	n
醃	v
下	u
佢	r
呢	y1
。	w
就	d
容易	a
打	v
好	d
多	a
。	w

一	m
鎚	q
打	v
爆	v
佢	r
喇	y
。	w

散	v
晒	u
！	w
噉樣	c
𠻺	y1
好	d
開心	a
。	w

有	v1
個	q
印	n
喺度	p
囖	y
。	w

凹	v
咗	u
。	w
凹	v
咗	u
。	w
嘩	e
，	w
真係	d
梳打粉	n
嘅	u
威力	n
真係	d
好	d
大	a
啊	y
。	w
食	v
嗰啲	r
牛柳	n
嗰陣時	r
就	d
見識	v
到	v
。	w

係	v
。	w
亦都	d
係	v
呢	y1
，	w
即係	c
豉油西餐	nz
裏便	f
嘅	u
一	m
大	a
特色	n
。	w
亦都	d
係	v
中國人	nz
烹調	v
牛肉	n
啊	y
。	w

扼殺	v
牛肉	n
。	w

扼殺	v
牛肉	n
嘅	u
原味	n
。	w
而	c
從而	c
昇華	v
到	v
另一個	r
境界	n
嘅	u
即係	c
一	m
條	q
秘技	n
啊	y
。	w

主要	a
係	v
俾	v
-	w
針對	v
冇	v1
牙	n
佬	n
𡃉	y
哩個	r
係	v
。	w
冇	v1
牙	n
牛柳	n
一	m
份	q
噉樣	r
囖	y
。	w

喀	e
。	w
噉	c
同埋	c
亦都	d
因為	c
噉	r
呢	y1
，	w
你	r
變	v
咗	u
你	r
唔	d
需要	v
追求	v
嗰個	r
肉質	n
。	w
梳打	n
牛肉	n
係	v
唔使	v
靚	a
。	w
梳打	n
牛肉	n
係	v
好	d
平	a
。	w

係	v
入	v
口	n
溶	v
吖	y
嗎	y
。	w
「	w
只溶喺口度	l
，	w
唔溶喺手度	l
」	w
嘅	u
牛柳	n
。	w

噉	c
就	d
，	w
誒	e
，	w
哩	r
一	m
個	q
失業	vn
數字	n
呢	y1
，	w
即係	c
攀升	v
呢	y1
，	w
似乎	v
呢	y1
今年	t
呢	y1
，	w
都	d
幾	d
難	a
呢	y1
，	w
係	v
即係	c
逆轉	v
哩	r
一	m
個	q
噉	r
嘅	u
時勢	n
嘅	y
。	w

嗯	e
。	w

噉	r
𠻺	y1
但係	c
呢	y1
，	w
即係	c
過往	t
呢	y1
，	w
通常	d
一	m
提到	v
話	v
失業	v
呢	y1
，	w
可能	vu
呢	y1
都	d
會	vu
係	v
講	v
𡁵	u
一啲	m
比較	d
基層	a
嘅	u
市民	n
喇	y
。	w

係	v
。	w

或者	c
係	v
即係	c
下層	a
一啲	u
嘅	u
市民	n
喇	y
。	w
噉	c
𠻺	d
但係	c
呢	y1
，	w
就	d
今時今日	l
呢	y1
，	w
已經	d
呢	y1
就	d
喺	p
哩	r
一	m
個	q
，	w
誒	e
，	w
即係	c
中層	n
方面	n
嘅	u
，	w
誒	e
，	w
即係	c
中位	n
收入	n
原本	d
揾	v
開	u
，	w
即係	c
所謂	d
社會	n
裏邊	f
嘅	u
中產人士	n
呢	y1
，	w
都	d
有	v1
，	w
誒	e
，	w
頗	d
多	a
失業	v
嘅	u
情況	n
呢	y1
，	w
嗰個	r
數字	n
呢	y1
，	w
都	d
係	v
幾	d
得人驚	a
𡃉	y
。	w
噉	c
𠻺	d
譬如	v
呢	y1
，	w
即係	c
就	v
住	u
哩	r
一	m
個	q
九八年	t
來	p
計	v
喇	y
，	w
噉	c
𠻺	d
就	d
即係	c
登記	v
要	vu
揾	v
職位	n
嘅	u
呢	y1
，	w
都	d
有	v1
成	v
即係	c
，	w
誒	e
，	w
萬	m
幾	m
人	n
啊	y
，	w
即係	c
喺	p
二月	t
嘅	u
時候	n
。	w
噉	c
呢	y1
就	d
，	w
誒	e
，	w
成功	a
嘅	u
個案	n
𠻺	y1
得	v
千	m
幾	m
𡃉	y
咋	y
。	w

係	v
。	w

噉	c
𠻺	d
哩個	r
呢	y1
，	w
其實	d
都	d
即係	c
引伸	v
到	u
一	m
樣	q
嘢	n
呢	y1
，	w
就	d
同	Cg
-	w
同埋	c
呢	y1
，	w
就	d
大家	r
好	d
，	w
誒	e
，	w
意料之外	l
啊	y
，	w
就	c
當事人	n
都	d
意料之外	l
啊	y
。	w
因為	c
譬如	v
話	v
做	v
到	u
一	m
間	q
貿易	n
公司	n
裏邊	f
嘅	u
一啲	m
中層	n
管理	n
人員	n
呢	y1
，	w
通常	d
都	d
諗	v
住	u
呢	y1
…	w

嗯	e
。	w

係	v
話	v
即係	c
可以	vu
繼續	v
喺	p
哩	r
間	q
公司	n
服務	v
落去	v
啊	y
，	w
即係	c
會	vu
唔	d
會	vu
有	v1
晉升	v
機會	n
都	d
唔	d
知	v
，	w
但係	c
已經	d
似乎	v
係	v
去到	v
一	m
個	q
呢	y1
，	w
幾	d
穩定	a
嘅	u
位	q
來	v
	y
嗎	y
。	w
即係	c
諗	v
都	d
諗	v
唔	d
到	u
，	w
吓	e
，	w
點解	r
會	vu
係	v
噉	r
。	w

䟴䟴腳	z
噉樣	r
。	w

係	v
嘞	y
。	w
係	v
嘞	y
。	w

係	v
。	w

即係	c
舉例	v
譬如	v
話	v
早排	t
，	w
誒	e
，	w
誒	e
，	w
本地	r
嗰	r
間	q
航空	n
公司	n
，	w
噉	c
一	m
裁員	v
來	p
計	v
呢	y
，	w
就	d
即係	c
幾	d
大	a
部份	n
呢	y
，	w
即係	c
唔係	v
一啲	m
基層	n
嘅	u
員工	n
喎	y
，	w
反而	c
呢	y1
就	d
係	v
一啲	m
中層	n
嘅	u
管理	n
人員	n
。	w

佢哋	r
人工	a
貴	a
吖	y
嗎	y
。	w

一來	c
人工	n
貴	a
，	w
同埋	c
呢	y1
就	d
係	v
話	v
即係	c
年資	n
𠻺	y1
比較	v
高	a
。	w
噉	c
有	v1
好多	m
時候	n
譬如	v
話	v
係	v
嗰個	r
實質	n
上	f
佢哋	r
嘅	u
崗位	n
上邊	f
嗰個	r
工作量	n
呢	y1
，	w
其實	d
唔係	v
咁	d
多	a
。	w
又	c
或者	c
係	v
好多	m
嘢	n
可以	vu
俾	v
其他	r
人	n
呢	y1
分擔	v
咗	u
來	p
做	v
啊	y
。	w
即係	c
你	r
一	m
個	q
人	n
去	p
做	v
一	m
樣	q
嘢	n
，	w
噉	c
可能	vu
呢	y1
，	w
我	r
揾	v
三	m
個	q
平	a
啲	u
嘅	u
人	n
來	p
做	v
咗	u
去	p
呢	y1
，	w
加	v
埋	u
都	d
唔	d
夠	v
你	r
份	q
人工	n
咁	d
貴	a
。	w

嗯	e
。	w

喀	e
。	w
因為	c
佢	r
服務	vn
年期	n
長	a
啊	y
。	w

係	v
。	w

噉	c
你	r
按	v
返	u
嗰個	r
，	w
誒	e
，	w
每	r
年	q
即係	c
，	w
誒	e
，	w
加	v
人工	n
嗰個	r
比例	n
來	p
計	v
，	w
噉	c
𠻺	d
儲	v
咗	u
咁	d
長	a
嘅	u
時間	n
，	w
誒	e
，	w
即係	c
都	d
會	vu
係	v
一	m
個	q
累積	vn
嘅	u
數	n
喺度	v
。	w
噉	c
哩個	r
都	d
會	vu
係	v
目前	t
呢	y1
即係	c
，	w
誒	e
，	w
幾	d
大	a
嘅	u
問題	n
。	w
噉	c
而	c
哩啲	r
人	n
呢	y1
，	w
又	d
好笑	a
，	w
有	v1
啲	q
個案	n
呢	y1
，	w
就	d
係	v
話	v
，	w
即係	c
佢	r
其實	d
係	v
有	v1
個	q
幾	d
高	a
嘅	u
quali	xn
𡃉	y
，	w
譬如	v
話	v
有	v1
個	q
大學	n
畢業	vn
證書	n
，	w
或者	c
有	v1
啲	q
乜嘢	r
文憑	n
噉樣	r
樣	n
。	w
噉	c
但係	c
，	w
因為	c
呢	y1
，	w
做	v
咗	u
咁	d
耐	a
，	w
或者	c
係	v
，	w
都	d
唔	d
知	v
擗	v
去	p
邊	r
𡃉	y
嚹	y
嗰	r
份	q
嘢	n
。	w
噉	c
而家	t
呢	y1
，	w
好	a
嘞	y
，	w
突然	a
之間	f
斷	v
咗	u
纜	Ng
喎	y
。	w

嗯	e
。	w

噉	c
𠻺	d
冇	v1
諗	v
過	u
自己	r
會	vu
斷纜	v
𡃉	y
，	w
即係	c
嗰	r
份	q
證書	n
，	w
或者	c
係	v
求職	v
嘅	u
時候	n
即係	c
嗰啲	r
推薦書	n
啊	y1
，	w
履歷	n
。	w

都	d
已經	d
唔見	v
晒	u
嘞	y
。	w

唔見	v
晒	u
𡃉	y
喇	y
嗎	y
。	w

係	v
嚹	y
，	w
點	r
算	v
？	w

係	v
啊	y
。	w
冇得	vu
搞	v
𡃉	y
嚹	y
。	w

噉	c
點	r
呢	y
？	w
你	r
點	r
話	v
俾	p
人	n
聽	v
？	w
即係	c
你	r
得	v
，	w
即係	c
譬如	v
話	v
三	m
至	p
四十	m
歲	q
人	n
出來	v
，	w
即係	c
你	r
話	v
，	w
噉	c
好	a
啊	y
：	w
「	w
阿	h
黃生	nr
，	w
噉	c
你	r
乜嘢	r
quali	xn
啊	y
噉樣	r
？	w
誒	e
，	w
你	r
寫	v
就	d
寫	v
唔	d
知	v
大學	n
畢業	vn
啊	y
，	w
乜嘢	r
文憑	n
。	w
可	Vug
唔	d
可以	vu
攞	v
張	q
來	v
睇	v
下	u
？	w
」	w

啊	y
，	w
但係	c
唔見	v
晒	u
嚹	y
。	w

「	w
喂	e
，	w
我	r
冇	v1
喎	y
噉樣	r
。	w
」	w
吖	e
。	w

執	v
咗	u
笠	Ng
嚹	y
嗰	r
間	q
學校	n
。	w

係	v
嘞	y
。	w
噉	c
即係	c
變	v
咗	u
你	r
喺	p
求職	v
方面	n
呢	y1
，	w
即係	c
再	d
轉職	v
呢	y1
，	w
嗰個	r
競爭率	n
就	d
比較	v
麻煩	a
啲	u
嘞	y
。	w

就	d
麻煩	a
。	w

係	v
。	w
或者	c
你	r
揾	v
-	w
揾	v
個	q
老師	n
出來	v
寫	v
封	q
即係	c
嗰啲	r
referee	xn
嗰啲	r
呢	y
。	w

推薦書	n
。	w

噉	r
都	d
唔	d
知	v
點	r
揾	v
喇	y
大佬	n
。	w

死	v
咗	u
嚹	y
。	w

係	v
喇	y
。	w

死	v
晒	u
嚹	y
班主任	n
。	w
請	v
問米	n
請	v
佢	r
上來	v
囖	y
，	w
冇得	vu
講	v
𡃉	y
。	w

老	a
到	u
睇	v
唔	d
到	u
字	n
啊	y
可能	vu
。	w

係	v
囖	y
。	w
真係	d
唔	d
掂	a
啊	y
。	w

喀	e
，	w
即係	c
嗰啲	r
又	d
係	v
比較上	d
𠻺	y1
即係	c
陰公	a
啲	u
囖	y
。	w
噉	c
甚至乎	d
另外	c
呢	y
，	w
如果	c
但係	c
你	r
話	v
新	a
出來	p
嗰啲	r
呢	y1
，	w
又	d
係	v
比較	v
麻煩	a
囖	y
。	w
即係	c
譬如	v
大學生	n
啱啱	d
畢業	v
，	w
噉	c
有啲	r
個案	n
呢	y1
，	w
都	d
係	v
話	v
即係	c
不停	d
噉	u
揾工	v
。	w

係	v
。	w

揾	v
咗	u
十	m
個	q
月	n
都	d
揾	v
唔	d
到	u
工	n
。	w

嘩	e
。	w

但係	c
來	v
𡁵	u
喎	y
，	w
重	d
難搞	a
啲	u
，	w
話	v
俾	p
你	r
聽	v
，	w
可能	vu
將會	vu
大	a
批	q
人	n
回流	v
返來	v
啊	y
。	w

係	v
。	w

因為	c
呢	y1
，	w
即	c
有啲	r
朋友	n
呢	y1
，	w
譬如	v
最近	t
去	v
完	v
加拿大	ns
呢	y
。	w

嗯	e
。	w

都	d
話	v
嗰邊	r
呢	y1
，	w
即係	c
啲	q
人心惶惶	i
啊	y
。	w

都	d
唔係	v
咁	d
好景	a
。	w

係	v
啊	y
。	w
對於	p
即係	c
除咗	p
即係	c
全球性	n
嘅	u
即係	c
哩個	r
經濟	a
有	v1
問題	n
之外	f
呢	y
，	w
佢	r
最	d
-	w
最	d
主要	a
係	v
加拿大	ns
嗰邊	r
呢	y1
，	w
個	q
稅制	n
變	v
咗	u
啊	y
。	w

嗯	e
。	w

即係	c
抽稅	n
抽	v
得	u
好	d
犀利	a
啊	y
。	w
譬如	v
即係	c
嗰邊	r
啲	q
華人	n
如果	c
你	r
物業	n
嘅話	u
呢	y1
，	w
就	d
全球	n
報稅	vn
。	w
即係	c
香港	ns
揾	v
到	u
嘅	u
都	d
要	vu
喺	p
加拿大	ns
報	v
。	w

嗯	e
。	w

噉	c
同埋	c
呢	y1
，	w
佢	r
個	q
商業稅	n
呢	y1
，	w
忽然	d
之間	f
加	v
咗	u
成	m
三	m
倍	q
啊	y
。	w

嗯	e
。	w

噉	c
佢	r
而家	t
呢	y1
，	w
就	d
話	v
呢	y1
，	w
而家	t
喺	p
譬如	v
多倫多	ns
噉	r
先	d
喇	y
。	w

即係	c
生意	n
惡做	a
嘞	y
。	w

生意	n
惡做	a
啊	y
。	w

揾	v
埋	u
唔	d
夠	v
俾	v
政府	n
。	w

係	v
啊	y
。	w
估計	v
呢	y1
，	w
就	d
會	vu
可能	vu
如果	c
即係	c
佢哋	r
而家	t
申請	v
𡁵	u
，	w
即係	c
成	m
班	q
聯合	v
晒	u
啲	q
所有	b
嘅	u
華人	n
商鋪	n
啊	y1
，	w
同埋	c
一啲	m
西人	n
嘅	u
鋪頭	n
呢	y
。	w

嗯	e
。	w

就	d
呢	y1
同	p
政府	n
講	v
，	w
即係	c
話	v
可	g1
唔	d
可以	vu
…	w

即係	c
業內	n
人士	n
喇	y
。	w

業內	n
人士	n
，	w
即係	c
可	g1
唔	d
可以	vu
減稅	v
嗰啲	r
。	w
如果	c
搞	v
唔	d
掂	a
呢	y1
，	w
可能	vu
有	v1
八成	m
嘅	u
鋪頭	n
呢	y1
，	w
話	v
特別	d
係	v
餐館	n
要	vu
執笠	v
啊	y
。	w

嘩	e
。	w

因為	c
…	w

好多	m
香港	ns
人	n
𡃉	y
喎	y
。	w

係	v
啊	y
。	w
因為	c
佢	r
嗰個	r
，	w
誒	e
，	w
稅收	n
呢	y1
，	w
忽然	d
之間	f
加	v
咗	u
三	m
倍	q
，	w
即係	c
個	q
租金	n
啊	y
。	w

係	v
。	w

令到	v
引致	v
佢哋	r
…	w

租金	n
？	w

係	v
啊	y
。	w

即係	c
所有	r
為皮	v
嘅	u
嘢	n
喇	y
，	w
係	v
唔係	v
啊	y
？	w

物業稅	n
啊	y
。	w
原本	d
係	v
譬如	v
，	w
誒	e
，	w
誒	e
，	w
誒	e
，	w
佢	r
，	w
誒	e
，	w
佢	r
有	v1
個	q
例子	n
𡃉	y
，	w
就	d
話	v
今年	t
呢	y1
，	w
有	v1
個	q
朋友	n
呢	y1
，	w
就	d
係	v
以前	f
呢	y1
就	d
要	vu
交	v
開	u
一	m
個	q
數	n
喇	y
，	w
但係	c
呢	y1
，	w
而家	t
今年	t
呢	y1
，	w
交	v
十三萬四千	m
幾	m
蚊	q
，	w
即係	c
加幣	nz
嘅	u
一	m
個	q
物業稅	n
。	w

嗯	e
。	w

噉	r
就	d
比	p
而家	t
嘅	u
呢	y1
，	w
多	a
咗	u
三	m
倍	q
幾	d
嘅	u
。	w

嗯	e
。	w

好	a
犀利	a
喎	y
。	w

所以	c
佢	r
根本	d
就	d
做	v
唔	d
到	u
。	w

嗯	e
。	w

做	v
唔	d
到	u
生意	n
。	w

噉	r
幾	d
弊	v
𡃉	y
喎	y
哩樣	r
。	w

噉	r
咪	c
返來	v
香港	ns
囖	y
。	w

但係	c
呢度	r
都	d
唔係	v
好景	a
吖	y
嗎	y
，	w
大佬	n
，	w
即係	c
話	v
。	w
噉	c
你	r
返	v
到	u
來	v
，	w
噉	c
𠻺	d
一樣	a
嚹	y
喎	y
，	w
同樣	c
面對	v
一樣	a
嘅	u
問題	n
。	w
即係	c
譬如	v
噉	r
講	v
，	w
未必	d
係	v
話	v
喺	p
嗰個	r
，	w
誒	e
，	w
你	r
營運	v
上邊	f
…	w

係	v
。	w

嗰個	r
皮費	n
會	vu
高	a
咗	u
，	w
但係	c
調	v
返	u
轉	v
就	d
係	v
個	q
市	n
係	v
淡	a
嘅	u
。	w

係	v
。	w

即係	c
而家	t
。	w
根本	d
係	v
喺度	d
即	c
大家	r
諗	v
下	u
點樣	r
渡過	v
哩個	r
難關	n
嘅	u
時候	n
。	w
即係	c
唔	d
好	a
講	v
話	v
你	r
外來	a
要	vu
返來	v
，	w
即係	c
開	v
餐館	n
喇	y
。	w
本地	r
啲	q
餐館	n
都	d
已經	d
嗌	v
晒	u
救命	l1
喇	y
。	w

香港	ns
都	d
係	v
喇	y
。	w

噉	c
又	d
係	v
。	w

一模一樣	i
啫	y
嗎	y
。	w
即係	c
基本上	d
你	r
都	d
係	v
喺	p
嗰個	r
咁	d
劇烈	a
嘅	u
競爭	vn
同埋	c
呢	y1
，	w
即係	c
消費	v
咁	d
疲弱	a
嘅	u
情況	n
底下	f
呢	y1
，	w
即係	c
所有	r
東主	n
都	d
諗	v
住	u
係	v
即係	c
渡過	v
哩	r
一	m
個	q
嚴冬	t
。	w
但係	c
呢	y1
，	w
就	d
唔	d
知	v
佢	r
幾時	d
呢	y1
，	w
先至	d
係	v
有	v1
哩個	r
即係	c
春天	t
可以	vu
出現	v
。	w

唉	e
。	w

即係	c
幾	d
無助	a
啊	y
。	w
原本	d
就	d
諗	v
住	u
啊	y1
，	w
有	v1
啲	q
即係	c
譬如	v
十	m
年	q
、	w
八	m
年	q
之前	f
走去	v
移民	v
嘅	y
。	w

嗯	e
。	w

或者	c
啲	q
藝人	n
噉樣	r
諗	v
住	u
揾	v
個	q
新	a
世界	n
噉樣	r
。	w
點	r
知	v
忽然間	d
又	d
唔	d
得	v
嘞	y
。	w
即係	c
聽講	v
嗰啲	r
又	d
話	v
而家	t
俾	v
人	n
封屋	vn
啊	y
。	w
嘟嘟姐	nr
嗰啲	r
啊	y1
，	w
話	v
要	vu
：	w
「	w
喂	e
，	w
你	r
爭	v
我哋	r
幾多	r
錢	n
稅	n
啊	y
。	w
」	w
噉樣	r
。	w

噉	c
佢	r
係	v
佢	r
喺	p
嗰邊	r
問題	n
，	w
佢	r
冇	v1
交	v
，	w
佢	r
喺	p
香港	ns
。	w

係	v
啊	y
。	w
有啲	r
。	w

報稅	vn
上邊	f
嘅	u
一啲	m
問題	n
。	w

我	r
聽	v
到	u
好多	m
人	n
唔	d
敢	vu
返去	v
𠻹	y
啊	y
有	v1
啲	q
。	w

係	v
唔係	v
啊	y
？	w

即係	c
唔	d
，	w
返去	v
俾	p
佢	r
捉	v
啊	y
即係	c
。	w

咁	d
大鑊	a
呀	y
？	w

係	v
啊	y
。	w
寧願	d
唔	d
返去	v
住	v
啊	y
噉樣	r
啊	y
。	w

唔係	v
。	w
香港	ns
朋友	n
呢	y1
就	d
係	v
，	w
喂	e
，	w
譬如	v
你	r
話	v
即係	c
移民	v
咗	u
外國	n
嗰啲	r
，	w
係	v
人	n
返來	v
唯一	a
一	m
個	q
出路	n
𡃉	y
啫	y
基本上	d
係	v
。	w

係	v
囖	y
。	w

就	d
係	v
加入	v
《	w
真情	nz
》	w
，	w
啱	a
唔	d
啱	a
啊	y
？	w
噉	c
𠻺	d
先前	t
呢	y1
，	w
我哋	r
講	v
到	u
呢	y1
，	w
就	d
係	v
話	v
即係	c
喺	p
哩	r
一	m
個	q
而家	t
呢	y1
，	w
勞工處	nt
嘅	u
哩個	r
失業	vn
登記	vn
同埋	c
即係	c
職位	n
空缺	an
嘅	u
統計	vn
方面	n
呢	y1
…	w

嗯	e
。	w

就	d
似乎	v
呢	y1
，	w
有	v1
幾	d
大	a
部份	n
呢	y1
都	d
係	v
來自	v
一啲	m
中層	n
嘅	u
管理人員	n
啊	y
噉樣	r
。	w

嗯	e
。	w

噉	c
當然	d
經濟	n
唔	d
好	a
喇	y
。	w
即係	c
好多	m
公司	n
要	vu
繼續	v
營運	v
嘅	u
時間	n
呢	y1
，	w
當然	d
呢	y1
即係	c
削減	v
佢哋	r
自己	r
嘅	u
開支	n
呢	y
，	w
就	d
會	d
揀	v
咗	u
呢	y1
就	d
係	v
話	v
中層	n
嗰	r
班	q
服務	vn
年資	n
比較	v
高	a
，	w
累積	v
嘅	u
即係	c
薪酬	n
亦都	d
係	v
會	vu
高	a
。	w

嗯	e
。	w

嘅	u
嗰啲	r
人	n
呢	y1
，	w
噉	c
然之後	c
就	d
會	vu
揾	v
一啲	m
即	c
比較上	d
，	w
誒	e
，	w
其他	r
嘅	u
同事	n
呢	y1
來到	p
分擔	v
咗	u
佢	r
嘅	u
工作	n
啊	y1
，	w
噉	c
𠻺	d
令到	v
即係	c
佢哋	r
𠻺	y1
變成	v
啲	u
失業大軍	n
裏邊	f
嘅	u
其中	r
之	u
一份子	n
啊	y
噉樣	r
。	w
噉	c
哩個	r
呢	y1
，	w
其實	d
返	v
返	u
去	v
呢	y1
，	w
就係	d
話	v
喺	p
嗰個	r
架構	vn
方面	n
，	w
我	r
覺得	v
要	vu
檢討	v
嗰個	r
問題	n
囖	y
。	w

嗯	e
。	w

有	v1
問題	n
存在	v
。	w

係	v
嘞	y
。	w
噉	c
但係	c
哩個	r
架構	n
又	d
好	d
奇	a
。	w
即係	c
一路以來	d
都	d
係	v
噉樣	r
。	w
即係	c
譬如	v
你	r
加入	v
一	m
間	q
公司	n
，	w
由	p
一	m
個	q
小	a
職員	n
開始	v
做	v
起	u
。	w
噉	c
𠻺	d
慢慢	a
呢	y1
，	w
即係	c
譬如	v
話	v
奉獻	v
咗	u
你	r
，	w
十	m
多	m
廿	m
年	q
嘅	u
青春	n
，	w
做	v
到	u
去	v
一	m
個	q
經理	n
或者	c
係	v
一	m
個	q
主任	n
譬如	v
噉樣	r
嘅	u
位置	n
裏邊	f
。	w

係	v
。	w

噉	c
𠻺	d
計正	v
就	d
即係	c
人	n
同	p
人	n
之間	f
，	w
就	d
即係	c
人情味	n
就	d
總	d
會	vu
有	v1
𡃉	y
哩啲	r
嘢	n
，	w
喀	e
。	w
噉	c
𠻺	d
，	w
啊	y
，	w
都	d
算	v
係	v
老臣子	n
啊	y
，	w
或者	c
打	v
過	u
江山	n
啊	y
噉樣	r
。	w
噉	c
𠻺	d
始終	d
都	d
會	vu
有	v1
一	m
個	q
感覺	n
就	d
係	v
即	c
冇功都有勞	l
，	w
都	d
即	c
𠻺	y1
叫做	v
做	v
咗	u
咁	d
多	a
年	q
嘞	y
。	w

係	v
。	w

係	v
啊	y
。	w

喺	p
哩	r
間	q
公司	n
裏邊	f
服務	v
，	w
係	v
唔係	v
啊	y
？	w
噉	c
𠻺	d
然之後	c
呢	y1
，	w
但係	c
一	m
去	v
到	u
呢	y1
，	w
真係	d
睇	v
一	m
睇	v
盤	q
數	n
，	w
或者	c
外邊	f
即係	c
生意	n
啊	y1
，	w
各樣	r
嘢	n
嘅	u
時間	n
，	w
就	d
即係	c
好	d
現實	a
嘞	y
嗰樣	r
嘢	n
就	d
。	w

對唔住	l1
嚹	y
。	w

噉	r
冇	v1
辦法	n
。	w
真係	d
要	vu
講	v
一	m
聲	q
即係	c
對唔住	l1
嘅	u
時候	n
。	w
噉	c
但係	c
哩啲	r
人	n
跟住	c
落來	v
係	v
點樣	r
樣	n
呢	y
？	w

而	c
比較	v
奇怪	a
嘅	u
就	d
係	v
話	v
呢	y1
，	w
個	q
老細	n
呢	y1
又	d
會	vu
同	p
你	r
講	v
啊	y
，	w
之前	f
就	d
話	v
：	w
「	w
輝虹	nr
，	w
喀	e
，	w
嗱	e
，	w
你	r
好	d
重要	a
啊	y
對	p
間	q
公司	n
，	w
𠻺	c
升	v
你	r
做	v
經理	n
。	w
冇	v1
咗	u
你	r
，	w
我	r
間	q
公司	n
真係	d
唔	d
知	v
點	r
算	v
啊	y
。	w
你	r
一力承擔	i
。	w
」	w
點	r
知	v
一	m
個	q
唔覺意	v
，	w
又	d
可以	vu
抄	v
咗	u
你	r
𡃉	y
喎	y
。	w

唔係	v
，	w
如果	c
佢	r
係	v
…	w

冇	v1
咗	d
你	r
又	d
冇	v1
乜	r
所謂	n
喎	y
。	w

重	d
要	vu
揾	v
你	r
條	q
靚	n
來	p
取替	v
你	r
喎	y
。	w

係	v
啊	y
。	w
又	d
冇	v1
乜	r
所謂	n
。	w
即係	c
哩個	r
架構	vn
又	d
幾	d
奇怪	a
𡃉	y
	y
。	w

唔係	v
。	w
所以	c
咪	c
就	d
係	v
話	v
即係	c
人情還人情	l
囖	y
。	w
去	v
到	u
尾	a
…	w

係	v
。	w

嘅	u
時候	n
，	w
啲	q
數字	n
同	p
你	r
來	p
講	v
，	w
即係	c
作為	v
即係	c
一	m
個	q
公司	n
嘅	u
決策人	n
裏邊	f
就	d
「	w
哎吔	e
生意	n
真係	d
難做	a
。	w
」	w
噉	c
嗰啲	r
。	w
即係	c
譬如	v
銀行	n
同	p
佢	r
𠻺	y1
冇	v1
人情	n
講	v
	y
嗎	y
。	w

係	v
啊	y
，	w
係	v
啊	y
。	w

或者	c
係	v
佢	r
嗰啲	r
買家	n
賣家	n
，	w
即係	c
對	p
佢	r
又	d
係	v
冇	v1
人情	n
講	v
	y
嗎	y
。	w

係	v
。	w

即係	c
你	r
冇	v1
嗰個	r
競爭力	n
嘅	u
時候	n
，	w
噉	c
𠻺	d
冇	v1
辦法	n
嚹	y
。	w
你	r
只	d
能夠	vu
就	d
係	v
縮皮	v
。	w
噉	c
所以	c
呢	y1
，	w
就	d
我	r
覺得	v
哩個	r
制度	n
係	v
會	vu
，	w
即係	c
真係	d
一	m
個	q
面臨	v
崩潰	vn
𡃉	y
。	w

嗯	e
。	w

即係	c
一	m
個	q
傳統	a
嘅	u
公司	n
嘅	u
制度	n
。	w

係	v
。	w

除咗	p
話	v
啲	q
即係	c
經濟	a
好景	n
，	w
或者	c
係	v
即係	c
滑落	v
，	w
會	vu
帶來	v
即係	c
哩啲	r
沖擊	vn
之外	f
，	w
噉	c
𠻺	d
其實	d
而家	t
高科技	n
都	d
會	vu
係	v
有	v1
哩啲	r
噉	r
嘅	u
情況	n
出現	v
嘅	u
。	w

係	v
啊	y
，	w
係	v
啊	y
，	w
係	v
啊	y
。	w
人手	n
越來越	d
少	a
啊	y
。	w

人手	n
呢	y1
，	w
就	d
即係	c
你	r
需要	vu
喺	p
一	m
間	q
公司	n
裏邊	f
擺	v
嘅	u
人	n
呢	y
，	w
就	d
越來越	d
少	a
嘅	u
。	w

嗯	e
。	w

亦都	d
理論上	d
呢	y1
，	w
即係	c
由於	c
即係	c
透過	v
即係	c
譬如	v
電腦	n
啊	y1
，	w
或者	c
通訊	n
啊	y1
，	w
資訊	n
發達	a
啊	y1
，	w
等等	u
嘅	u
，	w
誒	e
，	w
誒	e
，	w
新	a
嘅	u
哩啲	r
硬件	n
呢	y1
，	w
出現	vn
嘅	u
時間	n
呢	y1
，	w
或者	c
